sucursal,ingrediente_id,semana,consumo_unidad_base
Brisas del Golf,harina,S1,294
Brisas del Golf,harina,S2,297
Brisas del Golf,harina,S3,275
Brisas del Golf,harina,S4,278
Brisas del Golf,harina,S5,299
Brisas del Golf,harina,S6,291
Brisas del Golf,harina_gf,S1,10
Brisas del Golf,harina_gf,S2,11
Brisas del Golf,harina_gf,S3,11
Brisas del Golf,harina_gf,S4,9.9
Brisas del Golf,harina_gf,S5,10
Brisas del Golf,harina_gf,S6,11
Brisas del Golf,semola,S1,19
Brisas del Golf,semola,S2,19
Brisas del Golf,semola,S3,20
Brisas del Golf,semola,S4,19
Brisas del Golf,semola,S5,19
Brisas del Golf,semola,S6,20
Brisas del Golf,levadura,S1,7.7
Brisas del Golf,levadura,S2,7.4
Brisas del Golf,levadura,S3,8.0
Brisas del Golf,levadura,S4,8.1
Brisas del Golf,levadura,S5,7.5
Brisas del Golf,levadura,S6,7.5
Brisas del Golf,oregano,S1,2.7
Brisas del Golf,oregano,S2,2.5
Brisas del Golf,oregano,S3,2.5
Brisas del Golf,oregano,S4,2.7
Brisas del Golf,oregano,S5,2.7
Brisas del Golf,oregano,S6,2.5
Brisas del Golf,mozzarella,S1,196
Brisas del Golf,mozzarella,S2,200
Brisas del Golf,mozzarella,S3,198
Brisas del Golf,mozzarella,S4,203
Brisas del Golf,mozzarella,S5,199
Brisas del Golf,mozzarella,S6,201
Brisas del Golf,burrata,S1,26
Brisas del Golf,burrata,S2,27
Brisas del Golf,burrata,S3,26
Brisas del Golf,burrata,S4,25
Brisas del Golf,burrata,S5,26
Brisas del Golf,burrata,S6,27
Brisas del Golf,salsa_pelatti,S1,74
Brisas del Golf,salsa_pelatti,S2,79
Brisas del Golf,salsa_pelatti,S3,82
Brisas del Golf,salsa_pelatti,S4,76
Brisas del Golf,salsa_pelatti,S5,75
Brisas del Golf,salsa_pelatti,S6,81
Brisas del Golf,pepperoni,S1,38
Brisas del Golf,pepperoni,S2,37
Brisas del Golf,pepperoni,S3,40
Brisas del Golf,pepperoni,S4,40
Brisas del Golf,pepperoni,S5,37
Brisas del Golf,pepperoni,S6,38
Brisas del Golf,jamon,S1,27
Brisas del Golf,jamon,S2,25
Brisas del Golf,jamon,S3,26
Brisas del Golf,jamon,S4,27
Brisas del Golf,jamon,S5,26
Brisas del Golf,jamon,S6,25
Brisas del Golf,parmesano,S1,16
Brisas del Golf,parmesano,S2,16
Brisas del Golf,parmesano,S3,15
Brisas del Golf,parmesano,S4,16
Brisas del Golf,parmesano,S5,16
Brisas del Golf,parmesano,S6,15
Brisas del Golf,queso_vegano,S1,7.9
Brisas del Golf,queso_vegano,S2,8.2
Brisas del Golf,queso_vegano,S3,7.6
Brisas del Golf,queso_vegano,S4,7.5
Brisas del Golf,queso_vegano,S5,8.0
Brisas del Golf,queso_vegano,S6,8.1
Brisas del Golf,aceite_oliva,S1,31
Brisas del Golf,aceite_oliva,S2,34
Brisas del Golf,aceite_oliva,S3,34
Brisas del Golf,aceite_oliva,S4,31
Brisas del Golf,aceite_oliva,S5,32
Brisas del Golf,aceite_oliva,S6,34
Brisas del Golf,aceitunas,S1,12
Brisas del Golf,aceitunas,S2,13
Brisas del Golf,aceitunas,S3,14
Brisas del Golf,aceitunas,S4,13
Brisas del Golf,aceitunas,S5,12
Brisas del Golf,aceitunas,S6,13
Brisas del Golf,albahaca,S1,3.3
Brisas del Golf,albahaca,S2,3.1
Brisas del Golf,albahaca,S3,3.3
Brisas del Golf,albahaca,S4,3.4
Brisas del Golf,albahaca,S5,3.2
Brisas del Golf,albahaca,S6,3.1
Brisas del Golf,arugula,S1,4.1
Brisas del Golf,arugula,S2,3.8
Brisas del Golf,arugula,S3,3.7
Brisas del Golf,arugula,S4,4.0
Brisas del Golf,arugula,S5,4.1
Brisas del Golf,arugula,S6,3.8
Brisas del Golf,hongos,S1,24
Brisas del Golf,hongos,S2,24
Brisas del Golf,hongos,S3,23
Brisas del Golf,hongos,S4,23
Brisas del Golf,hongos,S5,24
Brisas del Golf,hongos,S6,24
Brisas del Golf,cebolla,S1,40
Brisas del Golf,cebolla,S2,42
Brisas del Golf,cebolla,S3,39
Brisas del Golf,cebolla,S4,41
Brisas del Golf,cebolla,S5,43
Brisas del Golf,cebolla,S6,40
