sucursal,ingrediente_id,stock_actual_unidad_base
Brisas del Golf,harina,45
Brisas del Golf,harina_gf,1.7
Brisas del Golf,semola,3.1
Brisas del Golf,levadura,1.2
Brisas del Golf,oregano,0.4
Brisas del Golf,mozzarella,22
Brisas del Golf,burrata,4.2
Brisas del Golf,salsa_pelatti,12
Brisas del Golf,pepperoni,6.0
Brisas del Golf,jamon,3.8
Brisas del Golf,parmesano,2.4
Brisas del Golf,queso_vegano,1.2
Brisas del Golf,aceite_oliva,5.3
Brisas del Golf,aceitunas,2.0
Brisas del Golf,albahaca,0.5
Brisas del Golf,arugula,0.6
Brisas del Golf,hongos,3.7
Brisas del Golf,cebolla,12
Brisas del Golf,pimenton,2.0
Brisas del Golf,pina,6.0
Brisas del Golf,prosciutto,1.5
Brisas del Golf,cajas_pizza,308
Costa del Este,harina,30
Costa del Este,harina_gf,1.4
Costa del Este,semola,2.6
Costa del Este,levadura,1.0
Costa del Este,oregano,0.3
Costa del Este,mozzarella,24
Costa del Este,burrata,3.4
Costa del Este,salsa_pelatti,11
Costa del Este,pepperoni,5.2
Costa del Este,jamon,3.2
Costa del Este,parmesano,1.9
Costa del Este,queso_vegano,1.0
Costa del Este,aceite_oliva,4.4
Costa del Este,aceitunas,1.7
Costa del Este,albahaca,0.4
Costa del Este,arugula,0.5
Costa del Este,hongos,3.0
Costa del Este,cebolla,5.5
Costa del Este,pimenton,1.7
Costa del Este,pina,5.0
Costa del Este,prosciutto,1.3
Costa del Este,cajas_pizza,245
Marbella,harina,29
Marbella,harina_gf,1.1
Marbella,semola,2.1
Marbella,levadura,0.9
Marbella,oregano,0.3
Marbella,mozzarella,20
Marbella,burrata,2.7
Marbella,salsa_pelatti,8.8
Marbella,pepperoni,4.7
Marbella,jamon,2.8
Marbella,parmesano,1.5
Marbella,queso_vegano,0.8
Marbella,aceite_oliva,3.6
Marbella,aceitunas,1.5
Marbella,albahaca,0.4
Marbella,arugula,0.4
Marbella,hongos,2.4
Marbella,cebolla,4.4
Marbella,pimenton,1.5
Marbella,pina,4.2
Marbella,prosciutto,1.1
Marbella,cajas_pizza,196
Via Argentina,harina,20
Via Argentina,harina_gf,0.7
Via Argentina,semola,1.4
Via Argentina,levadura,0.6
Via Argentina,oregano,0.2
Via Argentina,mozzarella,13
Via Argentina,burrata,1.7
Via Argentina,salsa_pelatti,5.6
Via Argentina,pepperoni,2.9
Via Argentina,jamon,1.9
Via Argentina,parmesano,1.1
Via Argentina,queso_vegano,0.5
Via Argentina,aceite_oliva,2.3
Via Argentina,aceitunas,1.0
Via Argentina,albahaca,1
Via Argentina,arugula,0.3
Via Argentina,hongos,1.5
Via Argentina,cebolla,2.9
Via Argentina,pimenton,1.0
Via Argentina,pina,2.9
Via Argentina,prosciutto,0.8
Via Argentina,cajas_pizza,131
