sucursal,ingrediente_id,cantidad_formatos
Brisas del Golf,harina,10
Brisas del Golf,harina_gf,9
Brisas del Golf,semola,2
Brisas del Golf,levadura,7
Brisas del Golf,oregano,3
Brisas del Golf,burrata,2
Brisas del Golf,salsa_pelatti,26
Brisas del Golf,pepperoni,7
Brisas del Golf,jamon,6
Brisas del Golf,parmesano,3
Brisas del Golf,queso_vegano,2
Brisas del Golf,aceite_oliva,6
Brisas del Golf,aceitunas,3
Brisas del Golf,albahaca,11
Brisas del Golf,arugula,14
Brisas del Golf,hongos,20
Brisas del Golf,cebolla,5
Brisas del Golf,pimenton,3
Brisas del Golf,pina,33
Brisas del Golf,prosciutto,3
Brisas del Golf,cajas_pizza,34
Costa del Este,harina,6
Costa del Este,harina_gf,7
Costa del Este,semola,2
Costa del Este,levadura,6
Costa del Este,oregano,2
Costa del Este,mozzarella,14
Costa del Este,burrata,2
Costa del Este,salsa_pelatti,21
Costa del Este,pepperoni,6
Costa del Este,jamon,5
Costa del Este,parmesano,3
Costa del Este,queso_vegano,2
Costa del Este,aceite_oliva,5
Costa del Este,aceitunas,2
Costa del Este,albahaca,9
Costa del Este,arugula,11
Costa del Este,hongos,16
Costa del Este,cebolla,2
Costa del Este,pimenton,2
Costa del Este,pina,26
Costa del Este,prosciutto,2
Costa del Este,cajas_pizza,27
Costa del Este,aji_chombo,3
Marbella,harina,7
Marbella,harina_gf,7
Marbella,semola,2
Marbella,levadura,5
Marbella,oregano,2
Marbella,mozzarella,12
Marbella,burrata,2
Marbella,salsa_pelatti,18
Marbella,pepperoni,5
Marbella,jamon,4
Marbella,parmesano,2
Marbella,queso_vegano,1
Marbella,aceite_oliva,4
Marbella,aceitunas,2
Marbella,albahaca,8
Marbella,arugula,10
Marbella,hongos,14
Marbella,cebolla,2
Marbella,pimenton,2
Marbella,pina,23
Marbella,prosciutto,2
Marbella,cajas_pizza,23
Via Argentina,harina,5
Via Argentina,harina_gf,5
Via Argentina,semola,1
Via Argentina,levadura,4
Via Argentina,oregano,1
Via Argentina,mozzarella,8
Via Argentina,burrata,1
Via Argentina,salsa_pelatti,12
Via Argentina,pepperoni,4
Via Argentina,jamon,3
Via Argentina,parmesano,2
Via Argentina,queso_vegano,1
Via Argentina,aceite_oliva,3
Via Argentina,aceitunas,2
Via Argentina,albahaca,20
Via Argentina,arugula,6
Via Argentina,hongos,10
Via Argentina,cebolla,1
Via Argentina,pimenton,2
Via Argentina,pina,16
Via Argentina,prosciutto,1
Via Argentina,cajas_pizza,16
